Gender,Child's First Name,Count
FEMALE,LIBA,20
FEMALE,LIBBY,23
FEMALE,LILA,34
FEMALE,LILAH,12
FEMALE,LILIANA,29
FEMALE,LILLIAN,47
FEMALE,LILLY,13
FEMALE,LILY,81
FEMALE,LINA,13
FEMALE,LOLA,22
FEMALE,LONDON,10
FEMALE,LUCY,47
FEMALE,LYLA,21
FEMALE,MACKENZIE,18
FEMALE,MADELEINE,24
FEMALE,MADELINE,39
FEMALE,MADELYN,15
FEMALE,MADISON,57
FEMALE,MAEVE,21
FEMALE,MAKAYLA,12
FEMALE,MALAK,15
FEMALE,MALKA,63
FEMALE,MALKY,59
FEMALE,MARGARET,25
FEMALE,MARIA,39
FEMALE,MARIAM,17
FEMALE,MARY,16
FEMALE,MATILDA,14
FEMALE,MAYA,94
FEMALE,MELANIE,12
FEMALE,MIA,116
FEMALE,MICHAELA,15
FEMALE,MICHAL,16
FEMALE,MICHELLE,35
FEMALE,MIKAYLA,12
FEMALE,MILA,31
FEMALE,MILENA,13
FEMALE,MINDY,24
FEMALE,MIRI,10
FEMALE,MIRIAM,131
FEMALE,MOLLY,36
FEMALE,MORGAN,20
FEMALE,NAOMI,46
FEMALE,NATALIA,20
FEMALE,NATALIE,40
FEMALE,NECHAMA,25
FEMALE,NICOLE,45
FEMALE,NICOLETTE,10
FEMALE,NINA,39
FEMALE,NOA,34
FEMALE,NORA,23
FEMALE,OLIVIA,213
FEMALE,PAIGE,13
FEMALE,PARKER,13
FEMALE,PEARL,23
FEMALE,PENELOPE,38
FEMALE,PEREL,15
FEMALE,PESSY,26
FEMALE,PHOEBE,23
FEMALE,PIPER,11
FEMALE,QUINN,10
FEMALE,RACHEL,171
FEMALE,RAIZEL,20
FEMALE,RAIZY,51
FEMALE,REBECCA,54
FEMALE,REESE,13
FEMALE,RIFKA,12
FEMALE,RIFKY,13
FEMALE,RILEY,28
FEMALE,RIVKA,113
FEMALE,RIVKY,43
FEMALE,ROCHEL,22
FEMALE,ROIZY,13
FEMALE,ROSE,35
FEMALE,RUBY,28
FEMALE,RUCHY,12
FEMALE,RUTH,11
FEMALE,RYAN,14
FEMALE,SABRINA,34
FEMALE,SADIE,32
FEMALE,SALMA,17
FEMALE,SAMANTHA,74
FEMALE,SARA,107
FEMALE,SARAH,177
FEMALE,SASHA,16
FEMALE,SAVANNAH,16
FEMALE,SCARLETT,31
FEMALE,SERENA,16
FEMALE,SHAINA,16
FEMALE,SHAINDEL,15
FEMALE,SHAINDY,48
FEMALE,SHEVY,10
FEMALE,SHIFRA,20
FEMALE,SHIRA,22
FEMALE,SHOSHANA,22
FEMALE,SIENA,16
FEMALE,SIENNA,38
FEMALE,SIMA,19
FEMALE,SIMI,10
FEMALE,SIMONE,15
FEMALE,SKYLAR,17
FEMALE,SLOANE,17
FEMALE,SOFIA,122
FEMALE,SOPHIA,180
FEMALE,SOPHIE,65
FEMALE,STELLA,69
FEMALE,SUMMER,16
FEMALE,SURI,14
FEMALE,SURY,20
FEMALE,SYDNEY,35
FEMALE,SYLVIA,11
FEMALE,TALIA,26
FEMALE,TAMAR,11
FEMALE,TAYLOR,25
FEMALE,TESSA,14
FEMALE,TOBY,39
FEMALE,TZIPORA,12
FEMALE,TZIPORAH,10
FEMALE,TZIPPY,10
FEMALE,TZIVIA,14
FEMALE,VALENTINA,31
FEMALE,VALERIE,11
FEMALE,VANESSA,14
FEMALE,VERA,19
FEMALE,VERONICA,22
FEMALE,VERONIKA,11
FEMALE,VICTORIA,84
FEMALE,VIOLET,38
FEMALE,VIVIAN,30
FEMALE,VIVIENNE,21
FEMALE,WILLA,13
FEMALE,YACHET,13
FEMALE,YAEL,21
FEMALE,YASMINE,10
FEMALE,YEHUDIS,23
FEMALE,YIDES,25
FEMALE,YITTY,32
FEMALE,YOCHEVED,20
FEMALE,ZISSY,25
FEMALE,SCARLETT,31
FEMALE,ZOEY,21
MALE,AARAV,15
MALE,AARON,51
MALE,ABDUL,20
MALE,ABDULLAH,30
MALE,ADAM,28
MALE,ADITYA,14
MALE,ADRIAN,19
MALE,AHMED,21
MALE,AIDAN,32
MALE,AIDEN,96
MALE,ALAN,37
MALE,ALEX,52
MALE,ALEXANDER,47
MALE,ALI,13
MALE,ALLEN,14
MALE,ALVIN,43
MALE,ANDREW,70
MALE,ANDY,43
MALE,ANSON,18
MALE,ANTHONY,46
MALE,ARJUN,27
MALE,ARMAAN,15
MALE,ARYAN,18
MALE,AUSTIN,64
MALE,AYAAN,31
MALE,AYDEN,24
MALE,BENJAMIN,39
MALE,BENSON,19
MALE,BRANDON,29
MALE,BRIAN,40
MALE,BRYAN,15
MALE,CALEB,16
MALE,CALVIN,13
